x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,1333
2,0,0,0,1,0,1,2,2,1,0,3,2,3,1,0,0,0,1,2,3,2,3,2,2,0,2,3,3,2,1,1,1,0,1,0,2,3,0,0,25.5,3174
1,2,1,0,0,2,3,2,0,3,0,2,2,2,0,3,2,3,2,1,3,1,0,2,0,3,0,3,1,0,2,3,0,1,1,3,0,1,1,3,25.0,5313
0,3,2,2,3,3,1,2,3,1,0,2,0,2,1,2,1,2,2,3,2,3,3,1,3,1,3,1,0,3,0,0,2,2,2,0,1,2,2,0,25.0,7492
3,3,2,0,2,0,2,3,3,0,0,2,3,0,3,0,2,1,2,2,3,1,3,1,3,2,1,3,1,0,1,1,0,2,3,3,1,3,1,1,25.0,9494
2,2,0,1,0,2,0,1,0,1,1,3,1,1,0,0,1,2,3,1,1,1,0,2,3,2,0,2,2,0,3,1,0,2,1,1,1,1,3,1,25.0,11583
3,3,1,1,3,1,1,2,3,2,0,3,1,0,2,2,1,3,0,1,0,2,3,2,0,0,1,3,0,1,0,3,1,2,3,2,0,2,1,2,25.0,13554
3,2,0,3,1,0,3,0,0,0,3,2,1,1,2,1,1,0,3,1,2,3,2,1,3,1,1,2,0,0,1,0,1,3,0,3,3,2,1,1,25.0,15687
1,0,2,0,0,2,3,3,2,2,3,0,1,1,1,3,1,1,0,1,1,2,1,0,0,1,0,0,0,2,2,3,0,2,3,3,3,1,3,1,25.0,17770
3,1,3,2,0,0,2,2,0,0,1,0,2,2,1,0,0,0,3,2,2,1,0,2,0,3,0,3,0,3,3,2,0,2,0,1,0,1,1,3,25.0,19604
3,2,0,1,1,1,1,3,0,1,3,2,1,3,0,2,1,3,3,1,0,2,1,2,0,0,1,2,1,0,1,3,0,3,3,1,0,3,1,1,25.0,21756
2,3,3,0,0,1,0,3,1,0,2,2,1,2,3,1,1,2,1,3,0,3,3,0,2,1,1,1,0,2,3,1,2,0,2,2,2,1,2,0,25.0,23709
3,0,0,1,0,3,2,2,1,1,3,3,2,2,3,3,1,1,1,1,2,0,0,1,3,0,2,1,3,2,0,3,2,2,1,0,3,3,0,2,25.0,25863
2,2,0,1,3,2,2,2,2,1,0,1,2,1,1,3,1,1,2,3,1,1,2,1,2,0,2,3,0,2,2,1,1,0,2,2,2,1,1,1,20.5,28057
3,2,2,0,1,1,2,2,2,1,2,3,2,3,1,1,3,3,0,2,0,0,0,1,0,2,0,0,3,0,3,2,1,1,2,0,0,2,2,2,25.0,29911
3,0,3,1,2,2,3,1,1,2,2,0,2,1,1,3,0,3,2,0,0,0,2,3,2,2,0,3,2,1,2,2,0,0,0,0,0,2,1,1,18.0,31807
1,3,0,2,2,0,2,0,1,3,1,3,1,3,3,0,2,1,1,0,3,1,0,3,3,3,3,1,3,0,3,3,3,1,0,2,0,1,3,2,25.0,33985
1,1,0,0,2,2,3,2,2,0,0,1,0,0,0,0,3,1,3,3,0,1,0,3,0,2,2,1,0,2,2,0,2,1,1,0,1,0,1,1,25.0,35832
2,2,3,1,2,2,1,3,0,1,1,3,1,0,3,3,2,0,1,1,3,0,0,2,0,0,2,3,1,3,2,1,0,1,0,3,0,3,0,3,25.0,37970
0,0,0,1,3,3,2,1,3,0,3,3,1,2,0,3,0,2,3,1,1,3,1,2,1,2,2,3,2,1,2,3,2,1,3,3,3,3,3,2,25.0,40145
2,3,2,1,3,2,0,3,0,0,0,0,3,2,0,3,2,2,3,0,0,2,2,1,3,0,1,2,3,3,2,2,2,1,1,1,2,3,3,1,25.0,42081
3,0,3,2,0,1,0,2,1,0,0,0,0,0,3,3,1,3,3,1,1,0,2,1,2,3,0,1,1,1,1,0,0,3,3,1,2,3,0,1,25.5,44137
3,1,1,0,0,3,2,1,0,3,2,3,1,0,2,3,1,2,1,1,1,1,2,0,0,1,3,0,3,2,0,0,3,0,3,2,3,0,3,1,15.5,46110
2,3,1,2,0,2,2,1,0,1,0,2,3,0,1,2,3,0,3,3,2,1,2,1,0,1,1,3,0,3,2,1,3,2,3,0,1,0,3,3,25.0,48219
2,1,3,1,1,0,0,2,0,1,3,2,1,2,1,0,1,2,2,3,3,2,2,3,1,1,2,1,2,3,2,3,3,0,3,1,1,2,0,3,25.0,50411
0,1,1,2,3,2,1,0,3,3,2,1,1,1,2,2,1,1,3,2,3,0,0,3,1,1,0,2,3,0,2,3,0,3,2,0,1,0,1,2,25.0,52384
