x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,67.0,621
0,3,2,3,1,0,0,3,1,1,3,1,112.5,2027
3,0,2,1,1,3,1,3,1,3,2,2,50.0,3638
3,0,1,1,1,2,1,0,3,2,0,2,20.5,5014
0,0,3,2,1,1,0,2,3,2,3,1,50.0,6383
3,1,0,0,0,2,1,3,0,0,0,2,87.0,7387
1,0,1,1,2,2,0,3,2,3,1,0,20.5,8136
0,2,1,3,2,2,3,1,1,3,1,3,50.0,9123
2,0,2,2,1,3,0,3,0,2,2,1,20.5,9865
1,0,1,2,1,1,3,3,0,1,0,3,67.0,10667
2,2,3,0,3,0,0,0,3,3,1,0,112.5,11818
0,0,1,1,3,3,2,1,3,3,2,3,112.5,13280
0,0,3,0,3,3,1,3,3,2,2,1,29.5,14657
3,1,2,2,2,2,2,1,0,2,0,1,47.0,16034
0,0,0,1,0,1,2,1,3,1,1,2,50.0,16805
1,1,3,1,2,0,2,3,0,0,2,3,87.0,17584
1,2,3,1,2,3,1,0,0,1,2,3,111.5,18428
1,0,1,2,0,0,3,1,3,2,0,2,50.0,19307
2,2,3,2,1,1,1,1,1,1,1,3,47.0,20235
1,1,0,2,1,2,3,2,3,0,2,2,50.0,21080
3,1,3,1,3,3,3,0,2,1,2,1,67.0,22003
1,3,2,3,1,0,0,2,0,2,3,3,87.0,22785
1,2,1,0,0,2,2,2,0,0,2,3,70.5,23485
2,0,1,0,0,0,3,2,3,1,2,2,87.0,24194
1,0,0,3,3,3,1,0,0,2,0,0,50.0,25026
0,2,1,1,0,2,1,3,2,0,3,1,55.0,25695
2,1,0,0,2,1,0,3,1,3,2,1,70.5,26509
2,0,1,0,0,0,3,1,1,2,1,0,50.0,27149
2,0,3,3,3,0,1,2,1,1,3,1,50.0,27974
2,1,2,1,1,0,0,0,1,1,2,1,34.5,28767
1,3,2,2,1,2,2,3,1,1,1,1,75.5,29725
1,3,0,3,2,2,1,3,2,2,2,0,87.0,30509
3,3,2,3,1,2,2,2,3,2,2,0,57.5,31567
0,0,2,1,1,1,1,2,1,2,3,0,20.5,32778
1,0,0,1,3,1,2,0,2,0,2,0,50.0,34082
2,1,0,3,1,0,2,3,0,0,2,2,67.5,35415
1,2,1,3,2,1,0,1,2,1,0,0,20.5,36848
3,3,3,0,3,1,0,0,1,3,0,0,75.5,38269
0,2,1,3,3,3,1,1,1,2,1,2,111.5,39850
1,1,2,3,2,0,2,0,2,3,2,3,50.0,41371
1,0,1,0,3,3,3,2,1,3,2,1,57.5,43176
3,2,3,2,3,1,2,0,3,1,0,1,77.5,44769
1,0,0,3,3,0,3,3,1,0,1,3,50.0,46138
0,2,0,2,0,3,1,0,3,3,0,0,50.0,47368
0,0,0,2,0,0,3,2,3,1,0,2,50.0,48399
2,2,3,0,1,0,2,3,2,1,0,1,48.5,49558
3,3,2,2,2,2,3,1,2,0,1,0,87.0,50952
3,1,2,0,1,0,0,1,2,0,1,1,87.0,52215
2,2,1,0,1,1,1,3,1,2,1,0,29.5,53643
3,3,3,1,3,0,1,3,0,1,0,0,57.5,55144
1,3,1,1,3,3,0,1,0,1,1,0,67.5,56530
1,3,0,2,0,1,3,1,3,0,1,0,50.0,57847
1,3,1,1,3,3,2,2,2,3,1,2,55.0,59468
1,2,0,1,2,3,3,0,0,3,0,1,29.5,60725
0,1,3,1,2,0,0,3,3,0,3,2,77.5,61964
3,3,3,0,2,1,2,3,0,2,3,2,29.5,63409
3,2,0,1,3,0,3,0,0,0,0,3,70.5,64567
2,3,1,3,0,0,1,2,3,3,0,2,50.0,66092
3,0,0,2,2,2,2,1,0,0,2,3,70.5,67257
2,2,0,1,1,1,3,3,0,3,1,0,50.0,68591
0,3,2,1,2,3,1,2,2,2,3,1,50.0,69478
1,0,2,1,0,1,2,3,1,2,2,0,67.5,70258
1,2,3,3,2,2,3,1,2,1,3,3,20.5,71133
2,3,3,2,1,1,3,1,2,1,3,2,87.0,72161
0,0,2,3,0,3,2,0,3,0,1,3,48.5,73062
0,1,1,0,2,2,1,0,0,1,2,1,55.0,74499
2,1,2,0,1,3,0,3,1,0,0,1,50.0,75841
3,3,0,1,1,3,1,2,1,0,2,0,111.5,76861
0,0,0,2,2,3,1,1,0,1,0,2,50.0,77549
1,0,0,2,3,0,2,1,3,0,0,1,50.0,78692
3,0,1,3,3,3,0,1,0,0,0,1,50.0,79964
0,0,2,1,0,1,1,3,3,3,0,0,50.0,81212
2,3,3,1,3,3,1,0,0,2,1,1,50.0,82732
0,3,1,1,3,3,0,3,3,3,0,1,34.5,84255
2,0,2,3,0,2,3,2,1,3,1,3,50.0,85443
0,2,3,1,0,1,0,0,0,1,1,3,111.5,86135
2,2,1,0,1,3,2,1,2,1,2,2,48.5,87137
0,3,3,1,2,2,3,0,1,2,1,2,87.0,87951
0,2,0,0,2,1,2,2,0,1,0,3,111.5,88646
3,1,2,0,0,3,2,0,1,1,0,0,55.0,89450
2,2,1,0,2,1,0,0,2,0,0,0,138.5,90064
0,3,2,1,0,3,0,0,2,3,0,3,20.5,90779
0,2,1,0,1,2,2,1,1,2,2,1,77.5,91585
0,2,2,2,0,1,1,1,2,2,3,1,138.5,92351
3,2,3,2,1,3,2,2,1,0,1,0,50.0,93227
1,0,0,1,2,0,1,1,3,2,0,2,34.5,94137
2,1,2,0,1,2,1,2,0,2,3,1,67.5,94948
0,1,3,3,1,0,1,1,1,3,3,1,50.0,96142
2,0,1,0,0,3,0,1,0,3,3,1,50.0,97095
0,1,0,3,1,1,1,0,1,3,1,0,50.0,98446
0,0,2,2,3,0,3,0,0,3,2,3,77.5,99607
2,0,2,1,0,2,2,3,0,0,0,3,67.0,100604
3,3,0,3,3,2,0,1,1,3,2,0,75.5,102046
0,3,3,2,0,0,0,2,3,2,1,1,50.0,103295
3,1,1,0,3,2,0,2,1,3,1,0,75.5,104676
1,1,2,2,1,1,2,2,1,3,2,2,77.5,106524
1,1,1,1,0,3,0,1,0,0,2,1,50.0,107786
1,0,2,0,2,2,2,1,1,3,1,0,67.5,109092
2,0,2,3,0,2,2,0,0,2,0,0,55.0,110113
