x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,1175
2,3,2,2,2,3,1,2,2,3,3,3,1,1,0,1,0,3,0,2,50.0,3275
1,2,2,1,3,1,2,1,1,0,3,2,0,1,1,0,2,3,0,1,78.5,5358
3,2,3,2,1,2,2,3,0,0,1,0,2,3,0,1,3,2,3,2,123.5,7368
3,1,2,1,0,2,2,2,3,2,2,0,1,2,1,0,3,3,3,2,50.0,9513
1,3,3,0,2,1,3,2,2,3,1,1,0,1,3,3,3,2,0,1,66.5,11452
1,3,3,1,3,3,3,0,1,2,0,3,0,1,0,2,2,2,0,0,66.5,13456
0,2,0,1,1,0,2,2,0,0,1,3,1,1,1,1,3,0,2,2,50.0,15368
0,2,0,1,2,3,1,1,3,0,1,3,3,3,1,2,1,3,1,2,40.0,17457
2,1,2,2,2,1,0,2,3,0,1,1,3,1,2,0,1,3,3,3,50.0,19569
0,2,0,2,3,2,1,1,1,2,0,1,0,2,2,2,0,1,0,3,123.5,21508
1,2,2,3,1,3,1,3,1,0,1,1,1,2,3,3,1,2,2,1,50.0,23509
0,0,2,3,0,0,1,0,0,1,3,2,1,1,2,2,1,2,2,0,50.0,25410
2,1,3,3,0,0,0,3,2,3,2,2,3,2,2,1,0,0,1,3,33.5,27357
3,0,2,2,0,1,1,1,0,3,1,1,3,3,3,0,2,3,0,2,50.0,29388
1,3,1,1,1,0,1,2,3,3,3,0,3,3,1,2,1,3,1,0,78.0,31598
2,2,3,3,1,1,2,2,1,0,1,0,3,2,3,0,2,2,3,3,50.0,33665
0,2,0,3,1,1,2,3,0,3,3,1,3,3,0,0,1,2,0,0,50.0,35472
0,3,3,0,2,1,1,2,0,1,0,2,3,0,3,0,1,1,2,0,50.0,37414
3,0,0,2,0,0,2,0,1,2,0,2,0,0,1,0,1,3,2,3,50.0,39311
1,2,0,1,3,0,1,0,3,1,0,2,2,2,1,1,0,0,0,1,50.0,41052
3,1,1,3,0,0,1,0,0,3,3,2,2,0,3,3,0,1,1,2,123.5,42978
0,2,2,0,1,0,1,0,0,3,2,2,3,0,1,2,3,3,0,3,91.5,44883
3,3,2,3,1,3,3,1,3,1,1,0,3,1,1,1,1,0,0,1,41.5,47062
1,3,1,2,0,0,2,3,0,0,3,2,2,3,0,3,1,1,2,3,40.0,49040
0,3,1,3,0,3,2,1,1,0,1,1,1,1,1,3,0,2,3,0,66.5,51045
3,3,1,2,3,3,2,3,1,3,0,2,3,0,0,3,0,1,1,2,40.0,52994
2,3,0,1,2,1,0,1,0,1,3,2,3,3,2,3,0,3,1,3,50.0,55117
0,3,0,2,1,1,3,1,0,3,2,2,0,3,2,1,3,0,1,3,40.0,57155
0,3,3,3,0,1,2,1,3,2,3,2,3,3,2,2,3,1,3,2,78.0,59326
1,0,3,3,2,0,1,1,1,0,1,2,1,2,2,3,3,0,1,2,107.5,61334
0,3,1,3,2,0,0,1,3,0,1,3,3,1,3,0,2,2,2,3,50.0,63311
1,1,3,2,0,1,1,3,3,3,1,3,0,1,0,1,1,1,2,3,78.5,65508
2,1,2,3,3,3,3,3,3,2,2,3,3,0,2,0,2,0,3,0,66.5,67381
1,0,2,1,0,1,1,3,0,0,0,2,2,1,3,0,1,2,2,3,66.5,69354
1,3,1,0,3,0,2,1,2,0,0,3,2,1,1,3,1,3,3,3,76.5,71430
0,0,3,2,3,0,1,1,2,3,2,3,2,0,0,0,2,1,1,0,76.5,73284
0,3,2,1,1,1,3,0,0,2,3,1,3,1,2,1,2,3,0,1,33.5,75333
0,0,2,0,1,3,1,3,0,0,1,0,3,1,0,1,3,3,0,3,42.0,77080
2,3,2,1,3,0,1,0,1,2,3,1,2,2,2,1,1,3,2,2,41.5,79197
1,1,0,0,0,2,3,2,2,1,0,0,0,2,0,2,3,0,3,1,50.0,81040
3,3,3,3,1,1,3,1,0,2,2,1,0,2,1,1,2,0,3,2,50.0,83064
2,3,1,3,2,3,2,2,0,3,0,0,0,0,1,1,0,2,3,3,66.5,84813
1,2,0,2,3,2,1,1,2,3,3,3,2,3,1,2,1,3,2,1,33.5,86950
0,3,3,2,1,0,1,2,3,2,1,1,3,1,2,1,2,1,2,2,56.5,89099
1,3,0,3,3,2,0,2,2,3,3,3,0,3,3,0,2,2,1,1,50.0,91154
1,3,3,3,3,1,1,2,2,0,3,3,3,3,2,3,3,3,0,0,50.0,93306
0,1,2,1,2,1,3,0,3,2,1,0,0,3,3,3,1,2,0,1,84.0,95285
3,0,0,2,3,1,0,3,1,0,0,1,1,3,3,0,3,3,2,2,42.0,97336
0,0,1,2,1,3,1,1,3,2,1,2,3,2,3,1,0,2,1,2,33.5,99407
2,0,3,1,3,3,2,1,1,2,0,1,2,1,0,1,0,2,1,1,42.0,101304
1,3,1,2,3,1,3,1,0,1,0,0,3,1,0,1,1,3,3,1,50.0,103446
3,3,0,1,1,0,3,3,0,3,3,2,1,3,2,1,0,2,1,2,50.0,105493
2,1,2,1,0,1,3,1,2,3,1,2,0,2,3,2,2,3,3,1,50.0,107574
2,1,2,3,0,0,1,3,0,0,1,1,2,0,2,3,0,1,3,1,84.0,109460
1,0,0,0,0,3,3,0,3,1,0,2,3,3,3,0,2,0,1,0,42.0,111168
2,0,0,2,2,3,2,3,0,3,2,1,0,0,0,1,2,3,2,3,66.5,113075
2,0,2,3,2,2,3,2,1,3,2,3,1,2,2,2,0,3,3,2,68.5,115130
3,3,1,1,1,2,2,2,0,0,1,3,1,0,0,0,1,0,2,3,33.5,117077
0,2,3,0,0,0,1,0,2,2,0,1,0,3,2,2,1,1,3,3,50.0,118959
1,2,1,2,2,3,0,1,3,3,3,2,2,2,0,2,2,1,2,2,50.0,120914
3,2,0,3,2,1,0,0,3,3,3,1,0,1,0,0,3,1,3,1,68.5,122917
0,3,1,1,2,2,3,0,0,1,3,2,3,3,3,3,1,3,0,1,78.0,125000
2,2,1,3,3,2,0,3,3,2,0,3,1,0,3,1,2,0,3,0,107.5,126950
3,1,1,1,1,0,0,3,1,0,1,0,3,2,3,3,3,3,1,0,56.5,128957
0,3,2,1,0,0,1,3,2,2,0,3,3,1,2,0,1,3,3,1,68.5,130976
2,1,1,1,1,0,2,2,2,1,1,2,2,0,0,0,2,0,0,0,50.0,132705
3,2,2,0,3,1,3,2,3,2,3,2,3,3,0,0,1,2,0,1,84.0,134769
3,3,3,2,1,2,1,3,2,1,2,2,2,1,3,3,3,3,3,2,78.5,136948
3,2,0,3,2,2,2,2,2,0,0,2,1,2,0,0,2,1,3,3,68.5,138882
3,1,1,1,1,1,3,0,3,0,0,0,1,1,0,3,2,2,3,0,78.0,140876
