x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,1311
0,1,1,0,3,2,3,1,1,3,3,2,3,2,1,3,3,1,3,1,45.5,3636
3,1,1,0,1,1,0,0,2,1,0,2,1,2,2,0,2,3,0,2,46.5,5811
0,1,1,2,0,0,3,0,1,0,0,1,1,2,0,2,2,3,3,3,95.5,7867
1,3,2,1,3,0,3,3,1,0,2,2,1,1,0,1,0,1,3,0,45.5,10081
2,1,1,0,1,1,3,3,0,1,2,2,3,0,1,3,0,3,3,1,95.5,12334
2,3,0,1,3,0,2,2,2,3,0,3,1,1,0,0,1,0,2,3,41.5,14504
1,2,2,2,3,0,2,2,2,3,3,3,0,2,2,0,2,2,3,3,95.5,17262
2,3,1,1,2,0,2,0,1,0,3,0,1,3,0,2,0,2,1,3,51.5,20711
3,1,0,2,0,1,3,2,3,1,2,1,3,3,1,2,3,3,1,3,79.5,24003
0,1,0,1,2,1,2,2,0,1,1,3,2,2,3,0,1,0,3,3,51.0,27601
0,3,1,1,3,1,2,2,1,0,3,0,3,0,0,0,1,0,2,2,111.0,31525
3,0,0,3,0,2,3,1,0,0,0,1,3,2,0,0,3,1,0,0,68.0,35282
2,3,0,1,0,2,1,3,2,1,2,0,2,2,0,0,1,0,0,1,43.5,39104
3,2,1,1,1,2,2,3,0,3,1,1,3,2,3,3,1,0,3,1,51.5,42914
0,0,3,2,0,1,3,0,0,3,1,0,2,1,1,2,3,0,0,3,39.0,45852
0,0,3,2,3,1,3,0,0,1,1,2,0,1,3,2,3,2,1,3,39.0,49734
3,2,1,3,3,1,0,0,0,0,2,0,0,2,0,1,2,1,3,2,59.0,52326
0,0,1,2,1,3,0,0,2,0,0,2,2,1,0,3,0,3,2,0,69.0,54708
3,1,3,3,0,1,1,1,1,3,1,0,3,2,3,3,1,0,1,0,59.0,58403
2,0,1,3,2,2,0,2,2,3,1,1,1,2,2,1,1,0,2,3,79.5,61097
1,3,0,0,2,1,3,3,3,2,1,0,3,1,1,1,0,0,0,1,51.0,64175
3,0,0,3,1,1,1,0,1,2,1,2,2,0,3,1,2,1,3,2,50.0,66912
2,3,1,0,0,3,0,0,2,0,3,2,1,0,3,2,3,2,0,0,73.5,70050
2,3,2,3,0,2,3,0,1,3,2,0,2,3,2,3,2,3,1,1,31.0,74218
2,3,1,0,0,1,3,0,0,3,2,3,2,0,3,0,1,0,1,0,50.0,77823
3,3,0,1,0,2,2,1,3,2,0,1,1,3,0,0,3,0,3,3,39.0,80763
2,3,3,1,0,3,1,1,3,0,3,3,3,1,0,3,2,2,0,1,84.5,84415
2,1,0,2,0,0,2,3,0,1,2,3,0,1,2,2,0,0,3,3,71.0,86804
3,3,1,3,3,0,3,3,0,0,2,0,1,1,1,0,0,0,2,2,69.0,90247
2,0,0,2,1,3,3,1,3,3,3,3,1,3,0,1,3,1,2,3,45.0,94249
2,3,0,0,3,1,3,3,0,3,1,0,3,2,2,0,2,2,0,3,51.0,97967
2,3,1,3,1,2,0,3,1,1,3,3,3,0,0,0,0,2,0,0,95.5,100920
3,1,1,2,2,1,2,3,2,1,1,2,2,2,1,1,3,3,0,2,43.5,105192
1,2,2,3,1,1,1,0,0,3,3,2,1,0,0,2,2,0,3,0,51.0,108159
2,3,2,0,3,1,0,2,0,1,0,3,1,0,2,1,0,0,0,3,43.5,111789
0,0,3,2,3,3,3,3,3,2,3,2,0,3,0,3,0,1,0,1,51.0,115301
3,0,0,3,0,0,2,0,1,3,2,3,3,1,2,3,1,3,1,0,95.5,119496
2,1,3,1,2,0,1,0,1,0,3,2,0,1,2,0,3,2,3,0,51.0,121920
2,2,0,1,0,3,2,2,2,3,1,2,3,2,1,0,3,3,1,2,45.0,125750
1,1,1,3,3,1,3,0,2,0,3,2,2,2,3,1,0,1,1,0,45.5,129146
1,3,3,0,3,1,1,0,0,3,2,0,1,1,1,0,0,2,1,1,45.5,133150
0,3,0,1,1,3,1,2,1,2,2,1,3,0,2,0,2,1,3,0,51.0,137061
2,1,3,3,2,0,0,3,2,1,2,1,0,0,3,3,2,3,2,1,46.5,139558
2,2,2,2,2,1,1,3,3,3,0,0,3,1,1,1,1,0,2,2,50.0,142310
1,3,2,0,0,0,2,1,1,2,2,0,2,3,2,3,2,3,1,0,45.0,146133
0,0,0,1,0,2,3,1,0,2,3,2,1,3,3,3,3,1,2,1,81.5,150096
2,2,1,1,3,1,3,0,0,3,1,1,0,2,0,1,0,1,3,0,79.5,153087
1,2,2,1,2,3,2,3,0,3,3,2,3,1,3,2,1,3,2,3,63.5,156487
3,0,2,0,1,2,2,1,0,0,2,2,2,0,2,1,2,3,3,0,95.5,160115
